ingredient_id,name_en,name_es,category,diet,allergens,package_price_eur,package_size,package_unit,supermarket,zone,sku,product_name,captured_at,product_url
fresh_cheese,Fresh Burgos cheese,Queso fresco,dairy_eggs,vegetarian,milk,1.15,0.25,kg,mercadona,mad1,52408,Queso fresco Burgos natural Hacendado,2026-09-21,https://tienda.mercadona.es/product/52408/queso-fresco-burgos-natural-hacendado-pack-4
cooking_cream,Cooking cream,Nata para cocinar,dairy_eggs,vegetarian,milk,1.55,0.5,l,mercadona,mad1,10161,Nata ligera para cocinar Hacendado,2026-09-21,https://tienda.mercadona.es/product/10161/nata-ligera-cocinar-hacendado-brick
soy_drink,Soy drink,Bebida de soja,dairy_eggs,vegan,soy,0.65,1.0,l,mercadona,mad1,14707,Bebida de soja con calcio y vitaminas sin azúcares añadidos Hacendado,2026-09-21,https://tienda.mercadona.es/product/14707/bebida-soja-con-calcio-vitaminas-sin-azucares-anadidos-hacendado-brick
oat_drink,Oat drink,Bebida de avena,dairy_eggs,vegan,gluten,0.75,1.0,l,mercadona,mad1,52640,Bebida de avena Hacendado 0% azúcar,2026-09-21,https://tienda.mercadona.es/product/52640/bebida-avena-hacendado-0-azucar-brick
crushed_tomato,Crushed tomato (can),Tomate triturado,pantry,vegan,,0.55,0.4,kg,mercadona,mad1,16044,Tomate triturado Hacendado,2026-09-21,https://tienda.mercadona.es/product/16044/tomate-triturado-hacendado-freir-bote
chopped_tomato,Chopped peeled tomato (can),Tomate troceado,pantry,vegan,,0.7,0.41,kg,mercadona,mad1,16022,Tomate troceado pelado Hacendado,2026-09-21,https://tienda.mercadona.es/product/16022/tomate-troceado-pelado-hacendado-freir-bote
tomato_frito,Tomato sauce (tomate frito),Tomate frito,pantry,vegan,,0.9,0.56,kg,mercadona,mad1,17108,Tomate frito Hacendado,2026-09-21,https://tienda.mercadona.es/product/17108/tomate-frito-hacendado-tarro
sweetcorn,Sweetcorn (can),Maíz dulce,pantry,vegan,,1.25,0.225,kg,mercadona,mad1,16714,Maíz dulce Hacendado,2026-09-21,https://tienda.mercadona.es/product/16714/maiz-dulce-hacendado-pack-3
peas_canned,Peas (jar),Guisantes,pantry,vegan,,0.95,0.39,kg,mercadona,mad1,16416,Guisantes extra Hacendado,2026-09-21,https://tienda.mercadona.es/product/16416/guisantes-extra-hacendado-bote
mushrooms_canned,Sliced mushrooms (can),Champiñones laminados en conserva,pantry,vegan,,1.0,0.355,kg,mercadona,mad1,16618,Champiñones laminados Hacendado,2026-09-21,https://tienda.mercadona.es/product/16618/champinones-laminados-hacendado-bote
